n_atoms,n_samples,mean_heavy_atoms,mol_stable,atom_stable,validity,uniqueness_given_valid,valid_unique,frac_H,frac_C,frac_N,frac_O,frac_F
21,1000,8.992,0.882,0.9920476190476191,0.958,0.9812108559498957,0.94,0.5718095238095238,0.3355238095238095,0.035476190476190474,0.05719047619047619,0.0
22,1000,8.994,0.887,0.9933181818181818,0.962,0.9833679833679834,0.946,0.5911818181818181,0.3245454545454545,0.0385,0.04577272727272727,0.0
23,1000,9.087,0.9,0.9940869565217392,0.965,0.9637305699481865,0.9299999999999999,0.6049130434782609,0.3229130434782609,0.027304347826086955,0.044869565217391306,0.0
24,1000,9.113,0.926,0.9957916666666666,0.971,0.9443872296601442,0.917,0.6202916666666667,0.311875,0.03158333333333333,0.03625,0.0
25,1000,9.2,0.915,0.99488,0.974,0.8983572895277208,0.875,0.632,0.31304,0.02136,0.0336,0.0
26,1000,9.293,0.904,0.9943076923076923,0.977,0.8863868986693961,0.866,0.642576923076923,0.30315384615384616,0.027,0.027269230769230768,0.0
27,1000,9.348,0.897,0.9932592592592593,0.98,0.7408163265306122,0.726,0.6537777777777778,0.3018148148148148,0.021,0.023407407407407408,0.0
28,1000,9.597,0.875,0.9923214285714286,0.971,0.7847579814624099,0.762,0.65725,0.29882142857142857,0.01982142857142857,0.024107142857142858,0.0
29,1000,9.659,0.822,0.9872068965517241,0.969,0.6615067079463365,0.641,0.6669310344827586,0.2964137931034483,0.020275862068965516,0.016379310344827588,0.0
30,1000,9.944,0.762,0.9813333333333333,0.967,0.6918304033092038,0.669,0.6685333333333333,0.2982,0.012866666666666667,0.0204,0.0
31,1000,10.012,0.557,0.9642903225806452,0.955,0.7759162303664922,0.741,0.6770322580645162,0.29274193548387095,0.019064516129032257,0.011161290322580645,0.0
32,1000,10.032,0.465,0.94753125,0.942,0.6634819532908705,0.6249999999999999,0.6865,0.29634375,0.01265625,0.0045,0.0
33,1000,10.146,0.147,0.9234848484848485,0.904,0.786504424778761,0.711,0.6925454545454546,0.2960606060606061,0.008090909090909091,0.003303030303030303,0.0
34,1000,10.241,0.167,0.9061176470588236,0.899,0.8743047830923248,0.786,0.6987941176470588,0.2948235294117647,0.005823529411764706,0.0005588235294117647,0.0
35,1000,10.363,0.158,0.8926571428571428,0.841,0.835909631391201,0.7030000000000001,0.7039142857142857,0.29194285714285717,0.004,0.00014285714285714287,0.0
36,1000,10.328,0.012,0.8570833333333333,0.813,0.8314883148831488,0.6759999999999999,0.7131111111111111,0.2838888888888889,0.002972222222222222,2.777777777777778e-05,0.0
37,1000,10.14,0.025,0.8161081081081081,0.732,0.7595628415300546,0.5559999999999999,0.725945945945946,0.271027027027027,0.003027027027027027,0.0,0.0
38,1000,0.0,0.0,0.0002631578947368421,1.0,0.002,0.002,1.0,0.0,0.0,0.0,0.0
39,1000,8.583,0.0,0.6452307692307693,0.653,0.4211332312404288,0.275,0.7799230769230769,0.21774358974358973,0.0023333333333333335,0.0,0.0
40,1000,0.0,0.0,0.00055,1.0,0.002,0.002,1.0,0.0,0.0,0.0,0.0
41,1000,5.951,0.0,0.43358536585365853,0.546,0.21978021978021978,0.12000000000000001,0.8548536585365853,0.13963414634146343,0.0014390243902439024,0.004073170731707317,0.0
42,1000,0.0,0.0,9.523809523809524e-05,1.0,0.002,0.002,1.0,0.0,0.0,0.0,0.0
43,1000,5.309,0.0,0.2948139534883721,0.447,0.174496644295302,0.078,0.8765348837209302,0.08204651162790698,0.0015348837209302325,0.039883720930232555,0.0
44,1000,4.983,0.0,0.25427272727272726,0.396,0.13383838383838384,0.053000000000000005,0.88675,0.061204545454545456,0.001931818181818182,0.05011363636363636,0.0
45,1000,2.391,0.0,0.19166666666666668,0.443,0.024830699774266364,0.011,0.9468666666666666,0.005,0.002777777777777778,0.04535555555555556,0.0
